Company_Name,Pincode,State,City,Company_Url,Logo_Url,"Rating,Reviews",Contact_Person_1,Contact_Person_2,Email,Website,Address,Head_Office,"Listed_In,About_Us",Opening_Closing_Time,Weekly_Services,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,Mobile6,tollfree1,tollfree2,tollfree3,stdcode,Phone1,Phone2,Phone3,Phone4,Phone5,fax_cut,Fax_prefix,Fax_Number1,Fax_Number2,"Tag,Image_Urls",Established_Year,Tagline,Feature-Tags,Tagline2,Lat,Lon
Exppress car Wash ,121003,Haryana,KP Faridabad,https://www.exppresscarwash.com/locateOurOutlets/KPFaridabad,,,Mr. Aditya Kachroo,,info@exppresscarwash.com                                            ,,"Plot No. 19Shop No 3&4Anangpur Chowkopposite Omaxe Forest Spa,Faridabad.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,093152 96396,,,,,,,,,,,,,,,,,,,,,,,,28.460960154000848,77.284574649715449
Exppress car Wash ,226010,Uttar Pradesh,Lucknow,https://www.exppresscarwash.com/locateOurOutlets/Lucknow,,,Mr. Vivek, Mrs. Isha Verma,info@exppresscarwash.com                                            ,,"03/11Vikrant Khand Gomti NagarLucknow,Lucknow.",,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,9935517255,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,517325,Andra Pradesh,Madanapalli,https://www.exppresscarwash.com/locateOurOutlets/Madanapalli,,,Akhil Kartheek,,info@exppresscarwash.com                                            ,,"HP GAS OFFICEbehind CHITTOOR BUSSTANDVivekanadanagarBasinikonda,Madanapalli.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,7799357979,,,,,,,,,,,,,,,,,,,,,,,,13.54859958360067,78.50527249630707
Exppress car Wash ,281004,Uttar Pradesh ,Mathura,https://www.exppresscarwash.com/locateOurOutlets/Mathura,,,Dev Verma,,info@exppresscarwash.com                                            ,,"Plot No 4Ganeshra Stadium Rdnear Shri Radha Puram EstateShri Radha PuramVishwalaxmi Nagar,Mathura.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,8077263563,,,,,,,,,,,,,,,,,,,,,,,,27.510006960892913,77.64465486931543
Exppress car Wash ,140301,Punjab,MOHALI,https://www.exppresscarwash.com/locateOurOutlets/MOHALI,,,Shalini,,                                            ,,Amaini Car Detailing Studio-123 Sunny Enclave Mohali.,,, -  ,Cleaning and making Cars Shinny  Days a Week,6005356179,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,,Nepal,Nepal,https://www.exppresscarwash.com/locateOurOutlets/Nepal,,,Mr. Govind Shah,,info@exppresscarwash.com                                            ,,"Rajat JayantiBypass RoadBirgunj,Birgunj.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9801022535,,,,,,,,,,,,,,,,,,,,,,,,26.996540942088195,84.8682235963037
Exppress car Wash ,201306,Uttar Pradesh,Noida,https://www.exppresscarwash.com/locateOurOutlets/Noida,,,Mr. Jay Daksh,,info@exppresscarwash.com                                            ,," Next to Gaur Saundaryam Marketopposite NX One AvenueItedaGreater Noida,Noida.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9716609255,,,,,,,,,,,,,,,,,,,,,,,,28.60313359809346,77.43433049630708
Exppress car Wash ,132103,Haryana ,Panipat,https://www.exppresscarwash.com/locateOurOutlets/Panipat,,,Ramesh Sharma,,info@exppresscarwash.com                                            ,,"Ram nagar Plat no 117Jattal Rdnear sanni mandir, Panipat.",,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,7988295810,,,,,,,,,,,,,,,,,,,,,,,,29.3763271978443,76.94589629301697
Exppress car Wash ,800007,Bihar,PATNA,https://www.exppresscarwash.com/locateOurOutlets/PATNA,,,Mr.Ravi Gautam,,info@exppresscarwash.com                                            ,,Jaganpura RdBashudev NagarRamkrishan NagarPipraPatna.,,, -  ,Cleaning and making Cars Shinny  Days a Week,+917992485503,7301000096,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,144401,Punjab,Phagwara,https://www.exppresscarwash.com/locateOurOutlets/Phagwara,,,Mr. Saurabh,,info@exppresscarwash.com                                            ,,"Phagwara Banga Road Near by Sabway BaristaOpp London Dreams Resort,Phagwara.",,,09:00 -  06:00,Cleaning and making Cars Shinny 7 Days a Week,7901971716,,,,,,,,,,,,,,,,,,,,,,,,31.2185648744304,75.78873416136574
Exppress car Wash ,562159,Karnataka,Ramanagara,https://www.exppresscarwash.com/locateOurOutlets/Ramanagara,,,Mohd. Maaz,,info@exppresscarwash.com                                            ,,"Arkavathi badavaneBM road ,Ramanagara.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,8660261443,8951139652,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,201304,Uttar Pradesh,Salarpur Noida,https://www.exppresscarwash.com/locateOurOutlets/SalarpurNoida,,,Kshitij Chopra,,info@exppresscarwash.com                                            ,,"Plot no. 587studiometro station1Main Rdnear sector 101,Noida.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9711345263,,,,,,,,,,,,,,,,,,,,,,,,28.55739002859455,77.38052012698874
Exppress car Wash ,192303,Kashmir,Shopian,https://www.exppresscarwash.com/locateOurOutlets/Shopian,,,Mr. Sheikh Babar,,info@exppresscarwash.com                                            ,,"Sheikh Mohallah RdKANIPORA,Shopian.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,9906660710,,,,,,,,,,,,,,,,,,,,,,,,33.7162193914915,74.82869688096625
Exppress car Wash ,413004,Maharashtra,Solapur,https://www.exppresscarwash.com/locateOurOutlets/Solapur,,,Mrs. Anjali Bhandari,Mr. Santosh Bhandari,info@exppresscarwash.com                                            ,,",Solapur.",,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,9922464736,8380995599,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,500084,Telangana,Telangana,https://www.exppresscarwash.com/locateOurOutlets/Telangana,,,Rohit Reddy Baddam,,                                            ,,"106/A,HiTech City-JNTU Road,Siddhi Vinayak Nagar,Hitech City, Hyderabad.",,, -  ,Cleaning and making Cars Shinny  Days a Week,91-9888373555,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,500018,Telangana,Telangana Intrac,https://www.exppresscarwash.com/locateOurOutlets/TelanganaIntrac,,,Mr.Muffadal Hussain,,info@exppresscarwash.com                                            ,,"7-2-1813/ASanathnagar,Hyderabad.-,Hyderabad.",,, -  ,Cleaning and making Cars Shinny  Days a Week,9885224442,91 98665 27067,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,500107,Telangana,Telangana-ShineUp Squad,https://www.exppresscarwash.com/locateOurOutlets/Telangana-ShineUpSquad,,,Maheedhar Hyd,,info@exppresscarwash.com                                            ,,"Sy.No. 175/AASituated at Gopanally VillageSerilingampally Mandal,RR District, Serilingampally.",,, -  ,Cleaning and making Cars Shinny  Days a Week,91 90100 40450,,,,,,,,,,,,,,,,,,,,,,,,,
Exppress car Wash ,572201,Karnataka,Tiptur,https://www.exppresscarwash.com/locateOurOutlets/Tiptur,,,Anil Gowda,,info@exppresscarwash.com                                            ,,"Roadnear Malgudi Days DabbaMaranagere,Tiptur.",,,9:00 -  6:00,Cleaning and making Cars Shinny 6 Days a Week,8971285954,,,,,,,,,,,,,,,,,,,,,,,,13.259019714309252,76.45227304176046
Exppress car Wash ,132103,Himachal Pradesh,Una,https://www.exppresscarwash.com/locateOurOutlets/Una,,,Vikas Rana,,info@exppresscarwash.com                                            ,,"Taliwal district UnaTahseelHaroli,Una.",,,9:00 -  6:00,Cleaning and making Cars Shinny 7 Days a Week,9317861007,,,,,,,,,,,,,,,,,,,,,,,,31.35548997983199,76.29062652641625
Exppress car Wash ,391410,Gujarat,vadodara,https://www.exppresscarwash.com/locateOurOutlets/vadodara,,,Mr.Nitesh Mourya,,info@exppresscarwash.com                                            ,,"GFShop Number 43,44,45,46the earth infinity,Near swami Narayan Temple,bhayali TP-4,Bhayali,vadodara.",,, -  ,Cleaning and making Cars Shinny  Days a Week,8160569428,,,,,,,,,,,,,,,,,,,,,,,,,
